Date,Team_1,Team_2,T1_Score,T2_Score,T1_Sum,T1_BP,T1_Ratio,T1_Srv_Sum,T1_Srv_Err,T1_Srv_Ace,T1_Srv_Eff,T1_Rec_Sum,T1_Rec_Err,T1_Rec_Pos,T1_Rec_Perf,T1_Att_Sum,T1_Att_Err,T1_Att_Blk,T1_Att_Kill,T1_Att_Kill_Perc,T1_Att_Eff,T1_Blk_Sum,T1_Blk_As,T2_Sum,T2_BP,T2_Ratio,T2_Srv_Sum,T2_Srv_Err,T2_Srv_Ace,T2_Srv_Eff,T2_Rec_Sum,T2_Rec_Err,T2_Rec_Pos,T2_Rec_Perf,T2_Att_Sum,T2_Att_Err,T2_Att_Blk,T2_Att_Kill,T2_Att_Kill_Perc,T2_Att_Eff,T2_Blk_Sum,T2_Blk_As,Winner
"27.11.2021, 14:45",Warta Zawiercie,ZAKSA Kędzierzyn-Koźle,0,3,38.0,9.0,-1.0,64.0,12,3.0,-12%,65.0,9.0,33%,10%,79,7.0,11.0,30.0,37%,15%,5.0,9,66,29,34,87,22,9,-9%,52,3,42%,21%,82,2,5,46,56%,47%,11,13,1
"27.11.2021, 17:30",GKS Katowice,Jastrzębski Węgiel,0,3,43.0,8.0,13.0,59.0,15,1.0,-22%,62.0,3.0,46%,20%,75,7.0,5.0,38.0,50%,34%,4.0,8,52,22,33,74,12,3,-9%,44,1,65%,34%,73,2,4,44,60%,52%,5,4,1
"28.11.2021, 17:30",AZS Olsztyn,Stal Nysa,3,2,73.0,35.0,36.0,105.0,11,14.0,10%,77.0,6.0,42%,23%,95,9.0,11.0,48.0,50%,29%,11.0,7,74,26,18,99,22,6,-9%,94,14,32%,14%,113,9,11,57,50%,32%,11,11,0
"29.11.2021, 20:30",Cuprum Lubin,Czarni Radom,2,3,82.0,31.0,43.0,112.0,16,8.0,-4%,89.0,4.0,51%,17%,122,7.0,12.0,64.0,52%,36%,10.0,12,84,29,36,110,21,4,-10%,96,8,43%,16%,126,9,10,68,53%,38%,12,9,1
"05.12.2021, 17:30",LUK  Lublin,Czarni Radom,3,1,69.0,38.0,41.0,96.0,14,7.0,-2%,57.0,4.0,61%,31%,99,4.0,6.0,44.0,44%,34%,18.0,6,51,17,2,71,14,4,-14%,82,7,50%,23%,100,10,18,41,41%,13%,6,11,0
"05.12.2021, 20:30",Stal Nysa,Cuprum Lubin,1,3,67.0,17.0,26.0,95.0,18,5.0,-10%,90.0,7.0,55%,18%,119,8.0,8.0,56.0,47%,33%,6.0,17,77,29,42,106,16,7,-5%,77,5,48%,16%,117,8,6,62,52%,41%,8,9,1
"04.12.2021, 14:45",AZS Olsztyn,Jastrzębski Węgiel,0,3,46.0,14.0,16.0,61.0,11,3.0,-8%,65.0,6.0,46%,23%,83,7.0,6.0,37.0,44%,28%,6.0,9,55,24,34,73,8,6,2%,50,3,52%,22%,78,4,6,43,55%,42%,6,14,1
"03.12.2021, 17:30",ZAKSA Kędzierzyn-Koźle,GKS Katowice,3,0,53.0,20.0,38.0,73.0,5,3.0,2%,50.0,1.0,70%,36%,76,3.0,6.0,35.0,46%,34%,15.0,5,51,14,13,62,12,1,-14%,68,3,44%,20%,98,8,15,44,44%,21%,6,9,0
"06.12.2021, 20:30",Projekt Warszawa,Warta Zawiercie,3,1,78.0,28.0,41.0,106.0,17,4.0,-5%,87.0,5.0,48%,22%,125,5.0,10.0,60.0,48%,36%,14.0,13,76,24,33,100,13,5,-2%,89,4,46%,13%,128,12,14,61,47%,27%,10,12,0
"04.12.2021, 17:30",PGE Skra Bełchatów,Ślepsk Malow Suwałki,3,0,62.0,25.0,38.0,73.0,11,7.0,-1%,58.0,5.0,39%,6%,75,3.0,5.0,43.0,57%,46%,12.0,4,52,16,20,68,10,5,-4%,62,7,50%,8%,78,3,12,42,53%,34%,5,7,0
"05.12.2021, 14:45",Asseco Resovia,Trefl Gdańsk,0,3,47.0,12.0,14.0,64.0,16,6.0,-15%,61.0,4.0,60%,31%,78,7.0,6.0,39.0,50%,33%,2.0,6,52,18,29,73,12,4,-8%,48,6,50%,16%,65,3,2,42,64%,56%,6,5,1
"12.12.2021, 20:30",Trefl Gdańsk,LUK  Lublin,3,0,55.0,26.0,35.0,74.0,9,5.0,0%,46.0,2.0,39%,28%,70,3.0,6.0,38.0,54%,41%,12.0,10,46,13,10,59,13,2,-16%,65,5,47%,20%,77,6,12,37,48%,24%,7,7,0
"12.12.2021, 17:30",Ślepsk Malow Suwałki,Asseco Resovia,0,3,43.0,13.0,13.0,63.0,12,2.0,-11%,63.0,9.0,36%,23%,77,3.0,6.0,38.0,49%,37%,3.0,4,56,24,35,73,10,9,5%,51,2,56%,21%,74,6,3,41,55%,43%,6,5,1
"13.12.2021, 17:30",Warta Zawiercie,PGE Skra Bełchatów,3,2,76.0,21.0,29.0,108.0,20,2.0,-11%,94.0,6.0,44%,19%,128,9.0,12.0,62.0,48%,32%,12.0,12,81,28,36,114,20,6,-7%,88,2,54%,13%,117,11,12,63,53%,34%,12,19,0
"12.12.2021, 14:45",GKS Katowice,Projekt Warszawa,2,3,70.0,21.0,25.0,99.0,17,8.0,-4%,87.0,3.0,57%,22%,123,4.0,21.0,56.0,45%,25%,6.0,11,81,32,40,106,19,3,-13%,82,8,58%,24%,117,8,6,57,48%,36%,21,16,1
"10.12.2021, 20:30",ZAKSA Kędzierzyn-Koźle,AZS Olsztyn,3,0,58.0,25.0,30.0,73.0,12,8.0,-1%,53.0,5.0,49%,32%,83,7.0,4.0,46.0,55%,42%,4.0,6,38,11,10,61,8,5,-1%,61,8,36%,24%,75,8,4,29,38%,22%,4,4,0
"11.12.2021, 14:45",Cuprum Lubin,Jastrzębski Węgiel,0,3,43.0,12.0,0.0,64.0,14,4.0,-12%,66.0,4.0,42%,24%,93,10.0,15.0,32.0,34%,7%,7.0,8,54,27,24,79,13,4,-2%,50,4,64%,30%,84,6,7,35,41%,26%,15,8,1
"11.12.2021, 20:30",Czarni Radom,Stal Nysa,3,1,68.0,25.0,37.0,95.0,16,6.0,-10%,69.0,5.0,57%,40%,78,5.0,5.0,50.0,64%,51%,12.0,7,64,19,19,88,19,5,-12%,78,6,56%,38%,96,8,12,54,56%,35%,5,3,0
"20.12.2021, 20:30",LUK  Lublin,Stal Nysa,0,3,58.0,24.0,23.0,76.0,13,6.0,-5%,71.0,2.0,54%,26%,96,12.0,8.0,40.0,41%,20%,12.0,9,56,23,25,80,9,2,-6%,63,6,49%,22%,90,4,12,46,51%,33%,8,10,1
"18.12.2021, 20:30",Jastrzębski Węgiel,Czarni Radom,3,0,61.0,35.0,43.0,74.0,7,11.0,13%,43.0,1.0,53%,30%,63,4.0,6.0,37.0,58%,42%,13.0,3,38,13,3,50,7,1,-10%,67,11,35%,17%,64,4,13,31,48%,21%,6,4,0
"19.12.2021, 17:30",ZAKSA Kędzierzyn-Koźle,Cuprum Lubin,3,1,70.0,31.0,33.0,96.0,19,5.0,-10%,66.0,6.0,57%,36%,103,5.0,7.0,48.0,46%,34%,17.0,14,58,24,9,86,20,6,-11%,77,5,35%,23%,110,7,17,45,40%,19%,7,8,0
"19.12.2021, 14:45",Projekt Warszawa,AZS Olsztyn,3,2,81.0,43.0,46.0,109.0,13,13.0,8%,70.0,8.0,42%,17%,107,4.0,10.0,59.0,55%,42%,9.0,7,68,25,22,86,16,8,-1%,96,13,47%,17%,108,8,9,50,46%,30%,10,8,0
"17.12.2021, 20:30",PGE Skra Bełchatów,GKS Katowice,3,1,69.0,22.0,31.0,93.0,16,3.0,-11%,73.0,4.0,45%,12%,105,6.0,12.0,53.0,50%,33%,13.0,8,60,16,20,84,11,4,-7%,77,3,48%,6%,101,13,13,44,43%,17%,12,6,0
"18.12.2021, 14:45",Asseco Resovia,Warta Zawiercie,1,3,57.0,19.0,18.0,83.0,18,3.0,-14%,78.0,5.0,50%,26%,99,4.0,12.0,43.0,43%,27%,11.0,9,71,33,34,92,14,5,-4%,65,3,41%,16%,112,9,11,54,48%,30%,12,14,1
"19.12.2021, 20:30",Trefl Gdańsk,Ślepsk Malow Suwałki,1,3,67.0,18.0,31.0,95.0,21,4.0,-16%,81.0,4.0,51%,22%,105,7.0,4.0,54.0,51%,40%,9.0,8,67,21,32,99,18,4,-10%,74,4,39%,17%,114,4,9,59,51%,40%,4,12,1
"29.12.2021, 17:30",LUK  Lublin,Warta Zawiercie,1,3,68.0,27.0,29.0,92.0,23,9.0,-13%,78.0,4.0,43%,20%,104,5.0,7.0,46.0,44%,32%,13.0,12,63,30,20,91,13,4,-6%,69,9,33%,15%,104,8,13,52,50%,29%,7,7,1
"25.02.2022, 20:30",GKS Katowice,Ślepsk Malow Suwałki,2,3,69.0,20.0,25.0,105.0,22,4.0,-16%,82.0,7.0,48%,25%,123,7.0,8.0,58.0,47%,34%,7.0,12,78,25,34,107,25,7,-14%,83,4,50%,27%,113,8,7,63,55%,42%,8,12,1
"16.03.2022, 17:30",AZS Olsztyn,Trefl Gdańsk,3,1,66.0,29.0,29.0,97.0,12,5.0,-1%,70.0,11.0,35%,20%,99,8.0,6.0,55.0,55%,41%,6.0,15,65,24,25,90,20,11,-5%,85,5,47%,17%,100,9,6,48,48%,33%,6,7,0
"30.12.2021, 17:30",Cuprum Lubin,Asseco Resovia,1,3,68.0,18.0,22.0,96.0,17,8.0,-3%,79.0,9.0,49%,17%,108,8.0,12.0,58.0,53%,35%,2.0,8,76,25,41,101,22,9,-9%,79,8,44%,20%,94,3,2,55,58%,53%,12,7,1
"30.12.2021, 20:30",Czarni Radom,PGE Skra Bełchatów,0,3,42.0,10.0,5.0,62.0,16,6.0,-12%,62.0,6.0,50%,35%,64,8.0,7.0,34.0,53%,29%,2.0,3,49,21,24,74,12,6,-4%,46,6,54%,30%,57,5,2,36,63%,50%,7,4,1
"10.11.2021, 20:30",Stal Nysa,Projekt Warszawa,1,3,63.0,18.0,18.0,90.0,21,5.0,-11%,80.0,7.0,40%,16%,95,8.0,9.0,53.0,55%,37%,5.0,7,65,24,32,96,16,7,-4%,69,5,52%,20%,89,7,5,49,55%,41%,9,6,1
"10.11.2021, 17:30",ZAKSA Kędzierzyn-Koźle,Jastrzębski Węgiel,3,0,57.0,18.0,32.0,75.0,13,6.0,-8%,60.0,4.0,53%,21%,90,4.0,4.0,45.0,50%,41%,6.0,10,52,14,22,72,12,4,-8%,62,6,51%,30%,99,6,6,44,44%,32%,4,11,0
"03.01.2022, 20:30",Jastrzębski Węgiel,LUK  Lublin,3,0,52.0,21.0,35.0,73.0,8,3.0,-1%,44.0,0.0,54%,27%,71,2.0,7.0,37.0,52%,39%,12.0,11,44,9,7,60,16,0,-20%,65,3,52%,26%,86,6,12,37,43%,22%,7,9,0
"04.01.2022, 20:30",ZAKSA Kędzierzyn-Koźle,Stal Nysa,3,0,62.0,25.0,38.0,73.0,16,9.0,-5%,51.0,4.0,49%,23%,65,2.0,2.0,42.0,64%,58%,11.0,6,37,11,6,60,9,4,-6%,57,9,47%,21%,59,2,11,31,52%,30%,2,5,0
"03.01.2022, 17:30",Projekt Warszawa,Czarni Radom,2,3,74.0,26.0,24.0,108.0,21,7.0,-5%,92.0,11.0,41%,8%,113,13.0,5.0,55.0,48%,32%,12.0,16,73,24,26,110,18,11,0%,87,7,49%,19%,123,10,12,57,46%,28%,5,10,1
"04.01.2022, 17:30",PGE Skra Bełchatów,Cuprum Lubin,3,1,71.0,27.0,36.0,97.0,16,13.0,5%,74.0,4.0,45%,9%,97,9.0,6.0,54.0,55%,40%,4.0,10,62,19,20,90,16,4,-10%,81,13,37%,9%,97,9,4,52,53%,40%,6,11,0
"05.01.2022, 17:30",Asseco Resovia,AZS Olsztyn,3,0,52.0,21.0,24.0,79.0,17,2.0,-12%,50.0,0.0,56%,32%,81,5.0,6.0,43.0,53%,39%,7.0,6,43,13,7,67,17,0,-23%,62,2,51%,25%,86,10,7,37,43%,23%,6,8,0
"05.01.2022, 20:30",Trefl Gdańsk,GKS Katowice,1,3,62.0,19.0,25.0,86.0,14,4.0,-8%,82.0,4.0,47%,28%,118,10.0,9.0,47.0,39%,23%,11.0,8,70,26,36,98,16,4,-7%,72,4,43%,22%,104,3,11,57,54%,41%,9,20,1
"06.01.2022, 17:30",Ślepsk Malow Suwałki,Warta Zawiercie,0,3,39.0,11.0,9.0,66.0,15,3.0,-15%,55.0,7.0,34%,18%,70,3.0,5.0,33.0,47%,35%,3.0,7,55,19,26,73,18,7,-8%,51,3,54%,31%,75,5,3,43,57%,46%,5,3,1
"10.01.2022, 20:30",LUK  Lublin,Ślepsk Malow Suwałki,3,1,67.0,24.0,35.0,92.0,20,4.0,-14%,71.0,2.0,56%,26%,104,3.0,7.0,52.0,50%,40%,11.0,11,58,21,19,85,14,2,-14%,72,4,52%,25%,104,10,11,49,47%,26%,7,13,0
"09.01.2022, 20:30",Warta Zawiercie,Trefl Gdańsk,3,0,53.0,18.0,40.0,73.0,7,4.0,5%,43.0,0.0,48%,18%,67,1.0,5.0,46.0,68%,59%,3.0,4,47,5,20,59,16,0,-23%,66,4,45%,19%,66,4,3,42,63%,53%,5,2,0
"09.01.2022, 17:30",Asseco Resovia,GKS Katowice,3,1,82.0,24.0,50.0,103.0,20,5.0,-6%,87.0,4.0,59%,25%,115,1.0,7.0,72.0,62%,55%,5.0,10,74,23,45,97,10,4,2%,83,5,48%,21%,111,9,5,63,56%,44%,7,5,0
"08.01.2022, 14:45",AZS Olsztyn,PGE Skra Bełchatów,1,3,64.0,27.0,28.0,101.0,15,5.0,-4%,73.0,6.0,43%,27%,105,9.0,6.0,50.0,47%,33%,9.0,8,75,26,29,101,28,6,-17%,86,5,45%,15%,116,4,9,63,54%,43%,6,8,1
"02.03.2022, 20:30",Cuprum Lubin,Projekt Warszawa,1,3,62.0,16.0,23.0,92.0,14,2.0,-7%,75.0,4.0,57%,30%,113,11.0,10.0,56.0,49%,30%,4.0,10,68,19,37,93,18,4,-11%,78,2,64%,29%,109,7,4,54,49%,39%,10,9,1
"02.03.2022, 17:30",ZAKSA Kędzierzyn-Koźle,Czarni Radom,1,3,69.0,24.0,36.0,90.0,14,7.0,-5%,80.0,5.0,60%,32%,118,6.0,8.0,53.0,44%,33%,9.0,9,72,26,39,92,12,5,-7%,76,7,51%,26%,111,5,9,59,53%,40%,8,10,1
"08.01.2022, 20:30",Stal Nysa,Jastrzębski Węgiel,0,3,43.0,14.0,8.0,58.0,13,8.0,-5%,62.0,2.0,46%,16%,76,9.0,11.0,31.0,40%,14%,4.0,4,52,23,27,73,11,2,-8%,45,8,48%,13%,65,2,4,39,60%,50%,11,4,1
"15.01.2022, 20:30",LUK  Lublin,ZAKSA Kędzierzyn-Koźle,1,3,59.0,18.0,17.0,91.0,19,3.0,-15%,80.0,8.0,48%,25%,112,4.0,11.0,48.0,42%,29%,8.0,8,76,31,39,98,18,8,-7%,72,3,45%,18%,101,8,8,57,56%,40%,11,9,1
"23.03.2022, 17:30",Jastrzębski Węgiel,Projekt Warszawa,3,1,71.0,34.0,42.0,95.0,13,10.0,-1%,67.0,6.0,49%,19%,103,5.0,5.0,47.0,45%,35%,14.0,18,64,24,18,84,17,6,-5%,82,10,43%,21%,115,5,14,53,46%,29%,5,22,0
"15.01.2022, 17:30",Stal Nysa,PGE Skra Bełchatów,1,3,56.0,22.0,15.0,84.0,15,5.0,-3%,75.0,5.0,38%,16%,91,9.0,12.0,43.0,47%,24%,8.0,5,67,25,31,93,18,5,-7%,69,5,40%,18%,88,5,8,50,56%,42%,12,9,1
"09.03.2022, 17:30",Czarni Radom,Asseco Resovia,0,3,48.0,13.0,15.0,66.0,12,2.0,-12%,66.0,6.0,33%,24%,88,4.0,11.0,42.0,47%,30%,4.0,3,63,25,40,79,13,6,-5%,54,2,46%,25%,78,4,4,46,58%,48%,11,4,1
"14.01.2022, 20:30",Cuprum Lubin,Trefl Gdańsk,3,1,67.0,25.0,37.0,92.0,13,4.0,-6%,70.0,4.0,48%,30%,104,5.0,8.0,54.0,51%,39%,9.0,18,64,24,25,89,19,4,-15%,79,4,53%,24%,109,7,9,52,47%,33%,8,8,0
"15.01.2022, 14:45",AZS Olsztyn,Ślepsk Malow Suwałki,3,2,81.0,26.0,43.0,113.0,18,13.0,-1%,87.0,10.0,43%,19%,101,4.0,6.0,64.0,63%,53%,4.0,9,84,28,36,110,23,10,-8%,95,13,48%,22%,114,8,4,68,59%,49%,6,9,0
"16.01.2022, 17:30",GKS Katowice,Warta Zawiercie,3,0,64.0,26.0,32.0,83.0,14,5.0,-6%,63.0,1.0,50%,22%,105,8.0,9.0,49.0,46%,30%,10.0,15,48,17,15,77,14,1,-11%,69,5,39%,15%,98,4,10,38,38%,24%,9,8,0
"24.01.2022, 17:30",GKS Katowice,LUK  Lublin,3,1,75.0,26.0,42.0,99.0,14,3.0,-10%,76.0,4.0,50%,19%,119,8.0,7.0,63.0,52%,40%,9.0,15,65,20,28,88,12,4,-7%,85,3,55%,29%,127,13,9,54,42%,25%,7,8,0
"23.01.2022, 14:45",Warta Zawiercie,AZS Olsztyn,3,2,75.0,27.0,24.0,103.0,18,5.0,-8%,86.0,6.0,47%,17%,116,11.0,16.0,59.0,50%,27%,11.0,10,71,25,30,104,18,6,-7%,85,5,57%,24%,100,7,11,49,49%,31%,16,7,0
"23.01.2022, 17:30",Ślepsk Malow Suwałki,Cuprum Lubin,3,1,69.0,27.0,35.0,92.0,13,5.0,-2%,67.0,9.0,55%,28%,97,6.0,6.0,56.0,57%,45%,8.0,8,60,20,24,82,15,9,-7%,79,5,50%,22%,102,8,8,45,44%,28%,6,3,0
"24.01.2022, 20:30",Trefl Gdańsk,Czarni Radom,3,0,54.0,28.0,31.0,73.0,9,8.0,6%,41.0,4.0,60%,21%,62,1.0,9.0,35.0,56%,40%,11.0,10,42,14,5,55,14,4,-18%,64,8,34%,12%,66,4,11,29,43%,21%,9,5,0
"22.01.2022, 20:30",Asseco Resovia,Stal Nysa,3,2,77.0,28.0,31.0,106.0,24,12.0,-4%,79.0,3.0,53%,20%,111,10.0,9.0,55.0,49%,32%,10.0,9,60,18,10,95,16,3,-12%,82,12,42%,19%,107,12,10,48,44%,24%,9,11,0
"22.01.2022, 14:45",PGE Skra Bełchatów,Jastrzębski Węgiel,2,3,77.0,27.0,25.0,103.0,17,9.0,-2%,94.0,10.0,40%,19%,134,10.0,15.0,58.0,43%,24%,10.0,16,84,31,44,111,17,10,-1%,86,9,39%,11%,120,4,10,59,49%,37%,15,18,1
"22.01.2022, 17:30",Projekt Warszawa,ZAKSA Kędzierzyn-Koźle,1,3,61.0,20.0,19.0,82.0,16,10.0,-7%,85.0,4.0,50%,22%,100,9.0,13.0,43.0,43%,21%,8.0,14,69,30,35,96,11,4,1%,66,10,50%,21%,84,5,8,52,61%,46%,13,14,1
"29.01.2022, 14:45",LUK  Lublin,Projekt Warszawa,3,0,52.0,21.0,28.0,74.0,13,2.0,-8%,47.0,0.0,44%,25%,81,3.0,8.0,38.0,46%,33%,12.0,8,40,9,5,61,14,0,-21%,61,2,54%,16%,81,7,12,32,39%,16%,8,12,0
"15.03.2022, 20:30",ZAKSA Kędzierzyn-Koźle,PGE Skra Bełchatów,1,3,76.0,24.0,37.0,101.0,18,9.0,-7%,88.0,6.0,48%,21%,111,12.0,3.0,60.0,54%,40%,7.0,16,69,20,30,99,11,6,-1%,83,9,45%,22%,125,12,7,60,48%,32%,3,5,1
"16.01.2022, 14:45",Jastrzębski Węgiel,Asseco Resovia,3,1,67.0,28.0,31.0,95.0,14,8.0,0%,71.0,8.0,52%,29%,92,5.0,9.0,51.0,55%,40%,8.0,10,71,28,27,92,21,8,-9%,81,8,50%,17%,100,7,8,54,54%,39%,9,8,0
"30.01.2022, 14:45",AZS Olsztyn,GKS Katowice,3,2,78.0,32.0,32.0,107.0,23,10.0,-11%,88.0,10.0,43%,23%,116,8.0,5.0,57.0,49%,37%,11.0,14,72,30,24,107,19,10,-5%,84,10,41%,19%,120,8,11,57,47%,31%,5,11,0
"28.01.2022, 20:30",Stal Nysa,Trefl Gdańsk,0,3,41.0,16.0,7.0,70.0,11,5.0,-2%,59.0,11.0,30%,13%,81,4.0,8.0,29.0,35%,20%,7.0,10,56,23,25,73,14,11,4%,59,5,33%,13%,88,5,7,37,42%,28%,8,9,1
"28.01.2022, 17:30",Czarni Radom,Ślepsk Malow Suwałki,0,3,46.0,14.0,17.0,62.0,13,5.0,-11%,62.0,8.0,46%,25%,77,6.0,2.0,35.0,45%,35%,6.0,3,51,21,26,74,12,8,-1%,49,5,57%,28%,75,2,6,41,54%,44%,2,9,1
"27.01.2022, 17:30",Cuprum Lubin,Warta Zawiercie,2,3,74.0,25.0,23.0,104.0,16,6.0,-1%,95.0,11.0,47%,26%,137,12.0,12.0,61.0,44%,27%,7.0,15,82,32,42,110,15,11,2%,88,6,51%,22%,129,12,7,59,45%,31%,12,22,1
"07.02.2022, 17:30",AZS Olsztyn,LUK  Lublin,3,0,57.0,29.0,38.0,74.0,13,3.0,-8%,40.0,3.0,60%,40%,67,2.0,1.0,44.0,65%,61%,10.0,10,32,8,3,52,12,3,-11%,61,3,50%,18%,71,4,10,28,39%,19%,1,4,0
"06.02.2022, 20:30",GKS Katowice,Cuprum Lubin,3,2,66.0,25.0,26.0,101.0,15,7.0,-5%,83.0,4.0,55%,27%,114,11.0,10.0,47.0,41%,22%,12.0,10,74,27,26,103,20,4,-13%,86,7,44%,15%,120,9,12,60,50%,32%,10,11,0
"06.02.2022, 17:30",Warta Zawiercie,Czarni Radom,0,3,43.0,10.0,11.0,61.0,17,2.0,-22%,61.0,2.0,70%,18%,71,6.0,7.0,35.0,49%,30%,6.0,2,51,21,28,73,12,2,-10%,44,2,70%,20%,63,3,6,42,66%,52%,7,7,1
"05.02.2022, 20:30",Ślepsk Malow Suwałki,Stal Nysa,2,3,71.0,22.0,30.0,101.0,23,7.0,-11%,81.0,7.0,58%,27%,109,5.0,6.0,54.0,49%,39%,10.0,6,76,26,31,105,24,7,-13%,78,7,57%,14%,119,4,10,63,52%,41%,6,2,1
"09.04.2022, 14:45",Trefl Gdańsk,Jastrzębski Węgiel,2,3,89.0,25.0,43.0,113.0,20,7.0,-7%,104.0,3.0,34%,14%,149,7.0,16.0,70.0,46%,31%,12.0,18,90,30,48,119,15,3,-5%,93,7,37%,20%,146,8,12,71,48%,34%,16,21,1
"22.03.2022, 17:30",Asseco Resovia,ZAKSA Kędzierzyn-Koźle,2,3,76.0,27.0,21.0,104.0,20,8.0,-8%,92.0,11.0,36%,18%,119,10.0,14.0,57.0,47%,27%,11.0,11,79,31,33,109,17,11,0%,84,8,41%,17%,111,10,11,54,48%,29%,14,6,1
"05.02.2022, 17:30",PGE Skra Bełchatów,Projekt Warszawa,3,1,66.0,25.0,28.0,89.0,14,4.0,-8%,72.0,7.0,43%,15%,95,9.0,8.0,49.0,51%,33%,13.0,13,63,24,23,90,18,7,-6%,75,4,50%,21%,106,5,13,48,45%,28%,8,9,0
"11.02.2022, 20:30",LUK  Lublin,PGE Skra Bełchatów,0,3,38.0,10.0,8.0,55.0,10,3.0,-9%,63.0,10.0,33%,12%,70,3.0,7.0,33.0,47%,32%,2.0,4,59,28,40,74,11,10,2%,45,3,42%,17%,68,3,2,42,61%,54%,7,10,1
"12.02.2022, 15:30",Projekt Warszawa,Asseco Resovia,1,3,55.0,15.0,14.0,75.0,16,3.0,-10%,79.0,4.0,44%,15%,107,12.0,9.0,44.0,41%,21%,8.0,15,65,27,32,95,16,4,-8%,64,3,43%,14%,110,6,8,52,47%,34%,9,7,1
"11.04.2022, 17:30",ZAKSA Kędzierzyn-Koźle,Trefl Gdańsk,2,3,73.0,20.0,30.0,99.0,19,3.0,-12%,93.0,9.0,46%,22%,135,6.0,9.0,62.0,45%,34%,8.0,21,81,33,47,107,14,9,-1%,80,3,42%,20%,135,9,8,63,46%,34%,9,27,1
"13.02.2022, 14:45",Jastrzębski Węgiel,Ślepsk Malow Suwałki,3,0,57.0,23.0,37.0,73.0,9,5.0,-1%,48.0,2.0,47%,20%,71,5.0,4.0,45.0,63%,50%,7.0,9,43,8,15,61,13,2,-14%,64,5,62%,28%,73,3,7,37,50%,36%,4,5,0
"12.02.2022, 20:30",Stal Nysa,Warta Zawiercie,1,3,68.0,22.0,22.0,89.0,19,6.0,-12%,84.0,8.0,40%,14%,96,9.0,10.0,48.0,50%,30%,14.0,9,68,30,29,96,12,8,0%,70,6,44%,18%,95,7,14,50,52%,30%,10,9,1
"14.02.2022, 20:30",Czarni Radom,GKS Katowice,0,3,38.0,12.0,4.0,57.0,11,2.0,-14%,64.0,8.0,45%,21%,75,4.0,11.0,33.0,44%,24%,3.0,4,59,29,40,74,10,8,6%,46,2,65%,41%,80,4,3,40,50%,41%,11,6,1
"12.02.2022, 18:00",Cuprum Lubin,AZS Olsztyn,0,3,36.0,6.0,5.0,51.0,9,2.0,-9%,64.0,7.0,42%,21%,78,4.0,11.0,33.0,42%,23%,1.0,2,61,28,44,74,10,7,1%,42,2,54%,26%,69,4,1,43,62%,55%,11,9,1
"18.02.2022, 20:30",Cuprum Lubin,LUK  Lublin,3,2,80.0,28.0,36.0,108.0,17,5.0,-2%,87.0,5.0,41%,19%,135,11.0,11.0,65.0,48%,31%,10.0,18,71,28,32,102,15,5,-5%,91,5,46%,23%,125,9,10,55,44%,28%,11,16,0
"21.02.2022, 17:30",AZS Olsztyn,Czarni Radom,3,0,45.0,22.0,17.0,73.0,16,4.0,-12%,42.0,3.0,40%,33%,63,2.0,7.0,36.0,57%,42%,5.0,9,41,13,3,63,21,3,-17%,57,4,50%,22%,75,8,5,31,41%,24%,7,4,0
"19.02.2022, 20:30",GKS Katowice,Stal Nysa,3,1,64.0,24.0,30.0,91.0,14,2.0,-7%,77.0,5.0,45%,25%,102,6.0,9.0,51.0,50%,35%,11.0,7,69,27,34,93,16,5,-7%,77,2,49%,15%,110,6,11,55,50%,34%,9,9,0
"19.02.2022, 17:30",Warta Zawiercie,Jastrzębski Węgiel,1,3,56.0,18.0,25.0,79.0,9,5.0,-3%,72.0,4.0,47%,13%,100,8.0,10.0,46.0,46%,28%,5.0,10,70,24,40,90,18,4,-12%,70,5,57%,20%,99,2,5,56,56%,49%,10,11,1
"20.02.2022, 14:45",Ślepsk Malow Suwałki,ZAKSA Kędzierzyn-Koźle,0,3,49.0,13.0,20.0,66.0,11,3.0,-12%,63.0,8.0,47%,15%,86,4.0,6.0,44.0,51%,39%,2.0,10,60,21,43,73,10,8,4%,55,3,56%,18%,88,2,2,46,52%,47%,6,6,1
"20.02.2022, 17:30",Trefl Gdańsk,Projekt Warszawa,3,0,54.0,26.0,28.0,73.0,14,10.0,-4%,50.0,1.0,46%,26%,89,5.0,6.0,34.0,38%,25%,10.0,9,41,16,2,63,13,1,-17%,59,10,44%,20%,77,6,10,34,44%,23%,6,10,0
"19.02.2022, 14:45",Asseco Resovia,PGE Skra Bełchatów,2,3,65.0,26.0,34.0,102.0,14,7.0,-3%,79.0,4.0,44%,17%,119,3.0,10.0,53.0,44%,33%,5.0,11,86,32,38,104,25,4,-12%,88,7,32%,12%,129,11,5,72,55%,43%,10,17,1
"04.03.2022, 20:30",LUK  Lublin,Asseco Resovia,1,3,61.0,22.0,19.0,83.0,17,4.0,-13%,85.0,8.0,43%,15%,102,5.0,12.0,48.0,47%,30%,9.0,5,73,34,43,98,13,8,-2%,66,4,50%,19%,92,4,9,53,57%,43%,12,10,1
"06.03.2022, 14:45",PGE Skra Bełchatów,Trefl Gdańsk,3,2,73.0,30.0,30.0,108.0,18,6.0,-7%,77.0,8.0,48%,28%,110,9.0,8.0,51.0,46%,30%,16.0,16,69,23,13,101,24,8,-13%,90,6,46%,21%,128,10,16,53,41%,21%,8,14,0
